# Protin Maccin Bfield
1.000000000000000000e+00 7.864946722395363356e-09 1.200000000000000000e+03
6.000000000000000000e+00 7.864946722395363356e-09 1.200000000000000000e+03
8.000000000000000000e+00 5.222975723784241340e-09 1.200000000000000000e+03
2.000000000000000000e+00 3.468488264969596882e-09 1.200000000000000000e+03
1.000000000000000000e+00 7.864946722395363356e-09 1.000000000000000000e+03
5.000000000000000000e+00 7.864946722395363356e-09 1.000000000000000000e+03
4.000000000000000000e+00 5.222975723784241340e-09 1.000000000000000000e+03
8.000000000000000000e+00 3.468488264969596882e-09 1.000000000000000000e+03
4.000000000000000000e+00 7.864946722395363356e-09 3.000000000000000000e+03
1.000000000000000000e+00 7.864946722395363356e-09 3.000000000000000000e+03
3.000000000000000000e+00 5.222975723784241340e-09 3.000000000000000000e+03
8.000000000000000000e+00 3.468488264969596882e-09 3.000000000000000000e+03
3.000000000000000000e+00 7.864946722395363356e-09 1.800000000000000000e+03
7.000000000000000000e+00 7.864946722395363356e-09 1.800000000000000000e+03
4.000000000000000000e+00 5.222975723784241340e-09 1.800000000000000000e+03
6.000000000000000000e+00 3.468488264969596882e-09 1.800000000000000000e+03
