# Protin Maccin Bfield
7.000000000000000000e+00 4.593702145161663920e-08 3.200000000000000000e+03
6.000000000000000000e+00 4.593702145161663920e-08 3.200000000000000000e+03
5.000000000000000000e+00 4.593702145161663920e-08 3.200000000000000000e+03
5.000000000000000000e+00 1.041641772155929790e-07 3.200000000000000000e+03
1.000000000000000000e+00 4.593702145161663920e-08 8.000000000000000000e+02
4.000000000000000000e+00 4.593702145161663920e-08 8.000000000000000000e+02
2.000000000000000000e+00 4.593702145161663920e-08 8.000000000000000000e+02
3.000000000000000000e+00 1.041641772155929790e-07 8.000000000000000000e+02
7.000000000000000000e+00 4.593702145161663920e-08 5.000000000000000000e+02
5.000000000000000000e+00 4.593702145161663920e-08 5.000000000000000000e+02
3.000000000000000000e+00 4.593702145161663920e-08 5.000000000000000000e+02
6.000000000000000000e+00 1.041641772155929790e-07 5.000000000000000000e+02
6.000000000000000000e+00 4.593702145161663920e-08 7.000000000000000000e+02
1.000000000000000000e+00 4.593702145161663920e-08 7.000000000000000000e+02
1.000000000000000000e+00 4.593702145161663920e-08 7.000000000000000000e+02
8.000000000000000000e+00 1.041641772155929790e-07 7.000000000000000000e+02
