# Protin Maccin Bfield
2.000000000000000000e+00 3.593813663804625695e-09 1.800000000000000000e+03
6.000000000000000000e+00 5.411695265464626664e-09 1.800000000000000000e+03
4.000000000000000000e+00 6.309573444801929638e-08 1.800000000000000000e+03
3.000000000000000000e+00 1.227125239851189105e-08 1.800000000000000000e+03
5.000000000000000000e+00 3.593813663804625695e-09 1.900000000000000000e+03
8.000000000000000000e+00 5.411695265464626664e-09 1.900000000000000000e+03
3.000000000000000000e+00 6.309573444801929638e-08 1.900000000000000000e+03
7.000000000000000000e+00 1.227125239851189105e-08 1.900000000000000000e+03
6.000000000000000000e+00 3.593813663804625695e-09 1.400000000000000000e+03
6.000000000000000000e+00 5.411695265464626664e-09 1.400000000000000000e+03
8.000000000000000000e+00 6.309573444801929638e-08 1.400000000000000000e+03
6.000000000000000000e+00 1.227125239851189105e-08 1.400000000000000000e+03
4.000000000000000000e+00 3.593813663804625695e-09 2.700000000000000000e+03
6.000000000000000000e+00 5.411695265464626664e-09 2.700000000000000000e+03
6.000000000000000000e+00 6.309573444801929638e-08 2.700000000000000000e+03
3.000000000000000000e+00 1.227125239851189105e-08 2.700000000000000000e+03
